year  doy  maxRHL1  meanazm  sat   delT   minE    maxE  UTC  ObsType  p/k   DynCor  MaskPart
              m       deg           min   deg     deg   hr                        
2021  353    15.79   137.65   G1    38   19.95    5.03   6.61    2  10.985 -0.530   1
2021  353    15.79   137.65   G1    38   19.95    5.03   6.61    3  10.585 -0.530   1
2021  353    15.85   137.65   G1    38   19.95    5.03   6.61    4  11.456 -0.530   1
2021  353    15.77   247.70   G1    33   24.84   12.16   0.82    3   9.648  0.833   2
2021  353    15.85   247.70   G1    33   24.84   12.16   0.82    4   7.209  0.833   2
2021  353    18.53   218.15   G2    32   24.81   12.05  10.73    2  10.426 -0.812   2
2021  353    14.80   209.96   G3    30   24.89   12.01   2.20    3   9.276  0.729   2
2021  353    14.70   209.96   G3    30   24.89   12.01   2.20    4  10.639  0.729   2
2021  353    14.65   174.44   G4    30   24.90   12.02   4.11    2  10.562  0.727   2
2021  353    14.65   174.44   G4    30   24.90   12.02   4.11    3  10.246  0.727   2
2021  353    14.55   174.44   G4    30   24.90   12.02   4.11    4  11.230  0.727   2
2021  353    16.81   186.64   G5    29   24.84   12.08  13.45    2   7.633 -0.734   2
2021  353    16.81   186.64   G5    29   24.84   12.08  13.45    3   8.173 -0.734   2
2021  353    14.64   187.92   G6    29   25.00   12.10   9.67    2   8.402 -0.718   2
2021  353    14.64   187.92   G6    29   25.00   12.10   9.67    3   9.283 -0.718   2
2021  353    16.02   187.92   G6    29   25.00   12.10   9.67    4   9.747 -0.718   2
2021  353    17.60   162.74   G7    31   19.80    7.50   7.10    2  11.000  0.571   1
2021  353    17.45   162.74   G7    31   19.80    7.50   7.10    3  11.235  0.571   1
2021  353    14.47   159.26   G8    35   19.99    5.19   4.07    2  11.365 -0.500   1
2021  353    14.47   159.26   G8    35   19.99    5.19   4.07    3  13.449 -0.500   1
2021  353    14.47   159.26   G8    35   19.99    5.19   4.07    4  14.439 -0.500   1
2021  353    18.94   271.76   G8    35   24.84   12.05  22.44    3  11.271  0.871   2
2021  353    19.02   271.76   G8    35   24.84   12.05  22.44    4  12.973  0.871   2
2021  353    15.46   195.23   G9    29   24.81   12.02   5.14    2   7.475  0.718   2
2021  353    15.60   195.23   G9    29   24.81   12.02   5.14    3   9.879  0.718   2
2021  353    15.54   195.23   G9    29   24.81   12.02   5.14    4  10.544  0.718   2
2021  353    18.44   146.97  G10    38   19.97    5.16  22.26    2   9.352  0.548   1
2021  353    18.44   146.97  G10    38   19.97    5.16  22.26    3  13.703  0.548   1
