year  doy  maxRHL1  meanazm  sat   delT   minE    maxE  UTC  ObsType  p/k   DynCor  MaskPart
              m       deg           min   deg     deg   hr                        
2021  345    16.44   137.67   G1    37   19.81    5.09   7.16    4  11.356 -0.528   1
2021  345    16.48   137.67   G1    37   19.81    5.09   7.16   14  12.194 -0.528   1
2021  345    17.96   247.72   G1    34   24.98   12.11   1.37    3  10.569  0.835   2
2021  345    18.00   247.72   G1    34   24.98   12.11   1.37    4  12.915  0.835   2
2021  345    17.94   247.72   G1    34   24.98   12.11   1.37   12  10.671  0.835   2
2021  345    17.99   247.72   G1    34   24.98   12.11   1.37   14  11.799  0.835   2
2021  345    14.45   218.24   G2    32   24.92   12.16  11.27    1   7.424 -0.817   2
2021  345    15.09   218.24   G2    32   24.92   12.16  11.27    2   9.552 -0.817   2
2021  345    14.93   218.24   G2    32   24.92   12.16  11.27   12  13.198 -0.817   2
2021  345    15.36   209.89   G3    30   24.95   12.07   2.75    2   7.164  0.731   2
2021  345    15.36   209.89   G3    30   24.95   12.07   2.75    3   9.446  0.731   2
2021  345    16.92   209.89   G3    30   24.95   12.07   2.75    4   8.333  0.731   2
2021  345    15.35   209.89   G3    30   24.95   12.07   2.75   12   9.256  0.731   2
2021  345    16.22   174.45   G4    29   24.98   12.10   4.66    3   8.829  0.730   2
2021  345    17.66   174.45   G4    29   24.98   12.10   4.66    4  12.707  0.730   2
2021  345    16.34   174.45   G4    29   24.98   12.10   4.66   12   9.340  0.730   2
2021  345    16.20   174.45   G4    29   24.98   12.10   4.66   13   8.817  0.730   2
2021  345    15.17   297.80   G5    33   24.86   12.17   9.40   12  11.712  0.816   2
2021  345    16.81   186.72   G5    30   24.83   12.08  14.00    2  11.068 -0.734   2
2021  345    16.81   186.72   G5    30   24.83   12.08  14.00    3  11.493 -0.734   2
2021  345    16.79   186.72   G5    30   24.83   12.08  14.00   12  11.863 -0.734   2
2021  345    16.79   186.72   G5    30   24.83   12.08  14.00   13  10.172 -0.734   2
2021  345    16.89   299.42   G6    33   24.87   12.17   5.60   12   9.204  0.828   2
2021  345    17.03   299.42   G6    33   24.87   12.17   5.60   14  10.850  0.828   2
2021  345    14.64   187.98   G6    29   24.95   12.06  10.22    2   7.515 -0.716   2
2021  345    14.78   187.98   G6    29   24.95   12.06  10.22    3   9.388 -0.716   2
2021  345    14.83   187.98   G6    29   24.95   12.06  10.22    4   9.247 -0.716   2
2021  345    14.63   187.98   G6    29   24.95   12.06  10.22   12  10.618 -0.716   2
2021  345    14.83   187.98   G6    29   24.95   12.06  10.22   14   9.345 -0.716   2
2021  345    15.32   162.70   G7    31   19.80    7.31   7.64    2  10.794  0.567   1
2021  345    15.32   162.70   G7    31   19.80    7.31   7.64    3  12.065  0.567   1
2021  345    15.32   162.70   G7    31   19.80    7.31   7.64   12  11.268  0.567   1
2021  345    15.32   162.70   G7    31   19.80    7.31   7.64   13  10.785  0.567   1
2021  345    15.79   159.24   G8    35   19.81    5.02   4.62    3   7.679 -0.493   1
2021  345    17.11   159.24   G8    35   19.81    5.02   4.62    4  13.581 -0.493   1
2021  345    17.15   159.24   G8    35   19.81    5.02   4.62   14  13.148 -0.493   1
2021  345    15.64   271.70   G8    35   24.83   12.05  22.98    3  11.115  0.870   2
2021  345    15.72   271.70   G8    35   24.83   12.05  22.98    4  10.728  0.870   2
2021  345    15.77   271.70   G8    35   24.83   12.05  22.98   12  13.186  0.870   2
2021  345    15.63   271.70   G8    35   24.83   12.05  22.98   13  10.690  0.870   2
2021  345    15.72   271.70   G8    35   24.83   12.05  22.98   14  11.599  0.870   2
2021  345    16.75   195.28   G9    29   24.84   12.05   5.69    2   9.071  0.720   2
2021  345    16.46   195.28   G9    29   24.84   12.05   5.69    3  10.276  0.720   2
2021  345    16.58   195.28   G9    29   24.84   12.05   5.69    4  10.560  0.720   2
2021  345    16.45   195.28   G9    29   24.84   12.05   5.69   12  11.118  0.720   2
2021  345    16.45   195.28   G9    29   24.84   12.05   5.69   13   8.995  0.720   2
2021  345    16.58   195.28   G9    29   24.84   12.05   5.69   14   9.785  0.720   2
2021  345    14.47   147.01  G10    38   19.90    5.10  22.80    1   8.690  0.545   1
2021  345    15.55   147.01  G10    38   19.90    5.10  22.80    2   9.435  0.545   1
2021  345    15.55   147.01  G10    38   19.90    5.10  22.80    3  14.008  0.545   1
2021  345    15.60   147.01  G10    38   19.90    5.10  22.80    4  16.142  0.545   1
2021  345    15.56   147.01  G10    38   19.90    5.10  22.80   12  14.855  0.545   1
2021  345    15.56   147.01  G10    38   19.90    5.10  22.80   13  12.597  0.545   1
2021  345    15.63   147.01  G10    38   19.90    5.10  22.80   14  13.946  0.545   1
2021  345    18.52   261.98  G10    49   24.96   12.05  16.52    3  13.254 -1.290   2
2021  345    18.43   261.98  G10    49   24.96   12.05  16.52    4  13.902 -1.290   2
2021  345    18.50   261.98  G10    49   24.96   12.05  16.52   12  13.937 -1.290   2
2021  345    18.50   261.98  G10    49   24.96   12.05  16.52   13  10.627 -1.290   2
2021  345    18.43   261.98  G10    49   24.96   12.05  16.52   14  13.201 -1.290   2
2021  345    15.89   308.09  G11    32   24.94   12.05   7.15   14  10.271  0.805   2
2021  345    14.88   205.14  G11    31   24.98   12.16  11.27    3  10.150 -0.774   2
2021  345    14.93   205.14  G11    31   24.98   12.16  11.27    4  10.160 -0.774   2
2021  345    14.87   205.14  G11    31   24.98   12.16  11.27   12  11.360 -0.774   2
2021  345    14.93   205.14  G11    31   24.98   12.16  11.27   14  10.378 -0.774   2
2021  345    15.26   202.58  G12    29   24.95   12.09  14.50    2   7.256  0.720   2
2021  345    15.26   202.58  G12    29   24.95   12.09  14.50    3   7.234  0.720   2
2021  345    15.17   250.37  G13    34   24.94   12.13  10.02   12  11.651  0.851   2
2021  345    14.79   144.26  G14    39   19.81    5.05  10.88    1  10.826  0.558   1
2021  345    15.60   144.26  G14    39   19.81    5.05  10.88    3  10.340  0.558   1
2021  345    15.64   144.26  G14    39   19.81    5.05  10.88    4  11.752  0.558   1
2021  345    15.60   144.26  G14    39   19.81    5.05  10.88   13   8.872  0.558   1
2021  345    15.68   144.26  G14    39   19.81    5.05  10.88   14  12.161  0.558   1
2021  345    18.78   256.93  G14    47   24.95   12.14   4.64    1  11.453 -1.227   2
2021  345    18.65   256.93  G14    47   24.95   12.14   4.64    3  13.389 -1.227   2
2021  345    18.57   256.93  G14    47   24.95   12.14   4.64    4  13.806 -1.227   2
2021  345    18.63   256.93  G14    47   24.95   12.14   4.64   12  12.843 -1.227   2
2021  345    18.63   256.93  G14    47   24.95   12.14   4.64   13  14.184 -1.227   2
2021  345    18.56   256.93  G14    47   24.95   12.14   4.64   14  13.247 -1.227   2
2021  345    16.32   278.81  G15    34   24.89   12.09  11.32   12  11.633  0.845   2
2021  345    16.65   174.08  G16    29   24.98   12.10   1.80    2   8.727 -0.731   2
2021  345    16.64   174.08  G16    29   24.98   12.10   1.80   12  12.816 -0.731   2
2021  345    15.67   288.31  G16    33   24.80   12.18  20.81   12  10.424  0.831   2
2021  345    16.40   210.80  G17    31   24.80   12.17   7.52    2   7.589 -0.771   2
2021  345    16.25   210.80  G17    31   24.80   12.17   7.52    3  11.238 -0.771   2
