year  doy  maxRHL1  meanazm  sat   delT   minE    maxE  UTC  ObsType  p/k   DynCor  MaskPart
              m       deg           min   deg     deg   hr                        
2021  356    13.79   137.66   G1    37   19.85    5.13   6.41    1   7.109 -0.530   1
2021  356    14.31   137.66   G1    37   19.85    5.13   6.41    3  12.570 -0.530   1
2021  356    14.42   137.66   G1    37   19.85    5.13   6.41    4  14.314 -0.530   1
2021  356    17.96   247.70   G1    34   24.94   12.07   0.62    3   8.102  0.833   2
2021  356    17.99   247.70   G1    34   24.94   12.07   0.62    4  11.321  0.833   2
2021  356    17.68   218.20   G2    32   24.89   12.13  10.52    2   8.480 -0.816   2
2021  356    16.33   210.00   G3    30   24.94   12.06   2.00    4   8.455  0.731   2
2021  356    14.47   174.42   G4    29   24.81   12.14   3.91    2   8.747  0.728   2
2021  356    14.47   174.42   G4    29   24.81   12.14   3.91    3   9.770  0.728   2
2021  356    14.49   174.42   G4    29   24.81   12.14   3.91    4  10.355  0.728   2
2021  356    15.37   186.63   G5    30   24.91   12.15  13.25    2   9.332 -0.737   2
2021  356    15.37   186.63   G5    30   24.91   12.15  13.25    3   9.758 -0.737   2
2021  356    16.34   187.89   G6    28   24.84   12.17   9.46    3   9.643 -0.716   2
2021  356    15.27   162.72   G7    30   19.90    7.59   6.90    2   9.997  0.575   1
2021  356    15.27   162.72   G7    30   19.90    7.59   6.90    3  11.763  0.575   1
2021  356    15.43   159.29   G8    35   19.90    5.11   3.87    2   7.176 -0.497   1
2021  356    15.43   159.29   G8    35   19.90    5.11   3.87    3   8.609 -0.497   1
2021  356    15.47   159.29   G8    35   19.90    5.11   3.87    4  11.017 -0.497   1
2021  356    18.37   271.82   G8    35   24.90   12.11  22.24    3  11.015  0.874   2
2021  356    14.17   195.21   G9    29   24.97   12.17   4.94    2   8.431  0.724   2
2021  356    14.17   195.21   G9    29   24.97   12.17   4.94    3   8.052  0.724   2
2021  356    14.19   195.21   G9    29   24.97   12.17   4.94    4  11.062  0.724   2
2021  356    17.98   147.03  G10    38   19.87    5.06  22.05    4  10.484  0.543   1
2021  356    16.33   262.03  G10    49   24.99   12.08  15.77    1   7.856 -1.293   2
2021  356    16.81   262.03  G10    49   24.99   12.08  15.77    4   7.967 -1.293   2
2021  356    17.62   205.30  G11    31   24.80   12.01  10.53    3   8.119 -0.768   2
2021  356    17.63   205.30  G11    31   24.80   12.01  10.53    4  11.260 -0.768   2
2021  356    18.26   144.15  G14    39   19.87    5.11  10.13    3   9.934  0.561   1
2021  356    18.43   144.15  G14    39   19.87    5.11  10.13    4  13.023  0.561   1
2021  356    15.51   256.79  G14    47   24.95   12.10   3.89    1   8.776 -1.222   2
2021  356    16.18   256.79  G14    47   24.95   12.10   3.89    3   7.145 -1.222   2
2021  356    14.15   210.98  G17    31   24.95   12.12   6.78    2   7.536 -0.774   2
2021  356    14.30   210.98  G17    31   24.95   12.12   6.78    3  10.688 -0.774   2
2021  356    15.43   163.26  G18    25   19.96    9.74  19.05    2   7.511  0.604   1
2021  356    15.26   163.26  G18    25   19.96    9.74  19.05    3   8.966  0.604   1
2021  356    15.37   163.26  G18    25   19.96    9.74  19.05    4   9.640  0.604   1
2021  356    14.45   220.70  G19    33   24.93   12.17   7.30    1   7.460 -0.817   2
2021  356    17.25   238.51  G23    38   24.95   12.07  15.29    4   9.152 -0.944   2
2021  356    14.60   135.52  G24    38   19.99    5.19  17.92    2   7.051 -0.545   1
2021  356    14.60   135.52  G24    38   19.99    5.19  17.92    3  10.779 -0.545   1
2021  356    14.60   135.52  G24    38   19.99    5.19  17.92    4  14.416 -0.545   1
2021  356    18.92   245.03  G24    33   25.00   12.10  12.12    3   7.908  0.820   2
2021  356    18.85   245.03  G24    33   25.00   12.10  12.12    4   9.337  0.820   2
2021  356    15.90   224.64  G25    30   24.86   12.11  14.94    4   9.575  0.763   2
2021  356    17.29   162.50  G26    18   12.54    5.16   0.15    4   7.855 -0.365   1
2021  356    15.68   162.08  G26    21   19.97   11.04  23.82    3   7.926 -0.621   1
2021  356    17.41   162.08  G26    21   19.97   11.04  23.82    4   7.327 -0.621   1
2021  356    14.89   274.94  G26    34   24.82   12.12  18.46    3   8.812  0.865   2
2021  356    16.32   142.86  G27    36   19.88    5.12   2.75    3   7.428 -0.521   1
2021  356    16.90   142.86  G27    36   19.88    5.12   2.75    4   7.221 -0.521   1
2021  356    17.35   253.18  G27    34   24.82   12.14  20.91    3   9.348  0.844   2
