year  doy  maxRHL1  meanazm  sat   delT   minE    maxE  UTC  ObsType  p/k   DynCor  MaskPart
              m       deg           min   deg     deg   hr                        
2021  346    17.35   137.64   G1    38   19.98    5.06   7.09    4  11.240 -0.531   1
2021  346    17.39   137.64   G1    38   19.98    5.06   7.09   14  10.800 -0.531   1
2021  346    12.74   247.67   G1    33   24.82   12.14   1.30    1   8.805  0.832   2
2021  346    17.21   247.67   G1    33   24.82   12.14   1.30    3  10.968  0.832   2
2021  346    17.21   247.67   G1    33   24.82   12.14   1.30    4  13.201  0.832   2
2021  346    17.19   247.67   G1    33   24.82   12.14   1.30   12  11.318  0.832   2
2021  346    17.05   247.67   G1    33   24.82   12.14   1.30   13   8.811  0.832   2
2021  346    17.20   247.67   G1    33   24.82   12.14   1.30   14  12.769  0.832   2
2021  346    14.95   218.22   G2    32   24.88   12.12  11.20    2   7.413 -0.815   2
2021  346    14.93   218.22   G2    32   24.88   12.12  11.20   12  13.610 -0.815   2
2021  346    15.94   209.91   G3    30   24.97   12.09   2.68    3   8.478  0.732   2
2021  346    17.67   209.91   G3    30   24.97   12.09   2.68    4  10.295  0.732   2
2021  346    15.92   209.91   G3    30   24.97   12.09   2.68   12   9.817  0.732   2
2021  346    17.51   209.91   G3    30   24.97   12.09   2.68   14   9.205  0.732   2
2021  346    15.62   174.46   G4    29   24.80   12.14   4.59    2   7.038  0.728   2
2021  346    15.62   174.46   G4    29   24.80   12.14   4.59    3  10.389  0.728   2
2021  346    17.21   174.46   G4    29   24.80   12.14   4.59    4   8.680  0.728   2
2021  346    15.61   174.46   G4    29   24.80   12.14   4.59   12  10.768  0.728   2
2021  346    15.61   174.46   G4    29   24.80   12.14   4.59   13   9.434  0.728   2
2021  346    17.05   174.46   G4    29   24.80   12.14   4.59   14   9.403  0.728   2
2021  346    15.37   297.78   G5    33   24.92   12.04   9.33   12  11.314  0.814   2
2021  346    15.37   297.78   G5    33   24.92   12.04   9.33   13   8.798  0.814   2
2021  346    15.97   186.72   G5    30   25.00   12.03  13.93    2   8.496 -0.736   2
