year  doy  maxRHL1  meanazm  sat   delT   minE    maxE  UTC  ObsType  p/k   DynCor  MaskPart
              m       deg           min   deg     deg   hr                        
2021  352    16.51   137.64   G1    38   19.98    5.07   6.68    2   8.110 -0.532   1
2021  352    16.51   137.64   G1    38   19.98    5.07   6.68    3  11.420 -0.532   1
2021  352    16.48   137.64   G1    38   19.98    5.07   6.68    4   9.735 -0.532   1
2021  352    15.04   247.67   G1    33   24.81   12.13   0.89    3  10.510  0.831   2
2021  352    15.24   247.67   G1    33   24.81   12.13   0.89    4  10.958  0.831   2
2021  352    14.47   209.97   G3    29   24.87   12.21   2.27    3  10.501  0.732   2
2021  352    14.50   209.97   G3    29   24.87   12.21   2.27    4   9.960  0.732   2
2021  352    15.05   174.43   G4    29   24.85   12.19   4.18    2   9.143  0.729   2
2021  352    15.05   174.43   G4    29   24.85   12.19   4.18    3   9.807  0.729   2
2021  352    15.10   174.43   G4    29   24.85   12.19   4.18    4  10.390  0.729   2
2021  352    16.52   186.66   G5    30   24.89   12.13  13.52    2   7.999 -0.736   2
2021  352    16.52   186.66   G5    30   24.89   12.13  13.52    3   8.717 -0.736   2
2021  352    14.32   187.92   G6    28   24.82   12.15   9.74    2   9.498 -0.716   2
2021  352    14.32   187.92   G6    28   24.82   12.15   9.74    3   9.642 -0.716   2
2021  352    15.69   187.92   G6    28   24.82   12.15   9.74    4   8.446 -0.716   2
2021  352    17.89   162.70   G7    31   19.98    7.48   7.17    2   9.156  0.574   1
2021  352    17.89   162.70   G7    31   19.98    7.48   7.17    3   9.925  0.574   1
2021  352    14.47   159.28   G8    35   19.80    5.01   4.14    2  12.024 -0.493   1
2021  352    14.47   159.28   G8    35   19.80    5.01   4.14    3  13.515 -0.493   1
2021  352    14.47   159.28   G8    35   19.80    5.01   4.14    4  14.283 -0.493   1
2021  352    18.66   271.73   G8    35   24.82   12.03  22.51    3  12.513  0.870   2
2021  352    18.72   271.73   G8    35   24.82   12.03  22.51    4  10.192  0.870   2
2021  352    16.18   195.25   G9    29   24.98   12.18   5.22    3   9.139  0.725   2
2021  352    16.14   195.25   G9    29   24.98   12.18   5.22    4   9.314  0.725   2
2021  352    18.68   146.99  G10    38   19.94    5.13  22.33    2  13.298  0.547   1
2021  352    18.56   146.99  G10    38   19.94    5.13  22.33    3  17.698  0.547   1
2021  352    18.86   146.99  G10    38   19.94    5.13  22.33    4  15.633  0.547   1
2021  352    14.41   261.95  G10    48   24.95   12.03  16.05    1  11.624 -1.287   2
2021  352    14.37   261.95  G10    48   24.95   12.03  16.05    3  11.052 -1.287   2
2021  352    16.75   205.24  G11    31   24.87   12.07  10.80    3  10.724 -0.770   2
2021  352    18.23   205.24  G11    31   24.87   12.07  10.80    4   7.211 -0.770   2
2021  352    14.97   202.51  G12    29   24.87   12.02  14.02    3   8.772  0.717   2
2021  352    12.77   140.49  G13    37   19.83    5.03  15.34    1   7.083 -0.517   1
2021  352    18.50   144.15  G14    39   19.91    5.14  10.40    2   7.524  0.563   1
2021  352    18.50   144.15  G14    39   19.91    5.14  10.40    3  12.589  0.563   1
2021  352    18.55   144.15  G14    39   19.91    5.14  10.40    4  14.143  0.563   1
2021  352    14.27   256.79  G14    46   24.92   12.07   4.16    1  10.984 -1.219   2
2021  352    14.17   256.79  G14    46   24.92   12.07   4.16    3  13.959 -1.219   2
2021  352    14.33   256.79  G14    46   24.92   12.07   4.16    4  14.122 -1.219   2
2021  352    18.20   278.85  G15    34   24.86   12.06  10.85    3  11.987  0.843   2
2021  352    16.58   210.86  G17    31   24.84   12.01   7.05    3   9.865 -0.768   2
2021  352    16.83   163.29  G18    24   19.98    9.74  19.32    3   7.428  0.604   1
2021  352    17.75   163.29  G18    24   19.98    9.74  19.32    4  11.138  0.604   1
2021  352    18.59   132.81  G23    21   12.39    5.02  21.46    4   7.172  0.416   1
2021  352    14.63   238.49  G23    37   24.88   12.17  15.56    1  10.350 -0.944   2
2021  352    18.78   238.49  G23    37   24.88   12.17  15.56    2   8.480 -0.944   2
2021  352    14.73   238.49  G23    37   24.88   12.17  15.56    3  13.974 -0.944   2
2021  352    14.77   238.49  G23    37   24.88   12.17  15.56    4  14.520 -0.944   2
2021  352    15.80   135.53  G24    38   19.92    5.12  18.19    3  10.529 -0.542   1
2021  352    15.86   135.53  G24    38   19.92    5.12  18.19    4   9.388 -0.542   1
2021  352    16.17   245.00  G24    32   24.87   12.17  12.39    3   7.423  0.819   2
2021  352    16.27   245.00  G24    32   24.87   12.17  12.39    4   8.260  0.819   2
2021  352    14.51   224.56  G25    31   24.84   12.09  15.20    3  11.215  0.762   2
2021  352    14.54   224.56  G25    31   24.84   12.09  15.20    4  11.852  0.762   2
2021  352    17.18   162.29  G26    34   19.52    5.11   0.29    2   9.420 -0.494   1
2021  352    17.18   162.29  G26    34   19.52    5.11   0.29    3  11.573 -0.494   1
2021  352    17.16   162.29  G26    34   19.52    5.11   0.29    4   9.595 -0.494   1
