winrhtime   winrh
344.1042   1.2540
344.1111   1.2121
344.1181   1.1150
344.1250   1.3063
344.1319   1.2850
344.1389   1.1509
344.1458   1.1158
344.1528   1.0500
344.1597   0.8962
344.1667   0.8263
344.1736   0.7500
344.1806   0.6122
344.1875   0.4798
344.1944   0.2908
344.2014   0.1781
344.2083   0.0624
344.2153   -0.0496
344.2222   -0.1888
344.2292   -0.3028
344.2361   -0.4638
344.2431   -0.5408
344.2500   -0.7067
344.2569   -0.8103
344.2639   -0.9612
344.2708   -1.0627
344.2778   -1.1547
344.2847   -1.3823
344.2917   -1.4275
344.2986   -1.4739
344.3056   -1.5178
344.3125   -1.5690
344.3194   -1.6172
344.3264   -1.6723
344.3333   -1.7058
344.3403   -1.7238
344.3472   -1.8300
344.3542   -1.7199
344.3611   -1.5942
344.3681   -1.6119
344.3750   -1.4820
344.3819   -1.4416
344.3889   -1.4563
344.3958   -1.3966
344.4028   -1.2998
344.4097   -1.4076
344.4167   -1.2991
344.4236   -1.1947
344.4306   -1.0902
344.4375   -0.9030
344.4444   -0.7586
344.4514   -0.6237
344.4583   -0.5032
344.4653   -0.3922
344.4722   -0.2640
344.4792   -0.1587
344.4861   -0.0195
344.4931   0.1130
344.5000   0.2392
344.5069   0.3783
344.5139   0.5184
344.5208   0.4892
344.5278   0.5207
344.5347   0.6319
344.5417   0.7653
344.5486   0.8881
344.5556   1.0915
344.5625   1.1761
344.5694   1.2607
344.5764   1.2713
344.5833   1.4245
344.5903   1.5488
344.5972   1.5814
344.6042   1.4201
344.6111   1.7026
344.6181   1.7364
344.6250   1.4156
344.6319   1.4649
344.6389   1.2376
344.6458   1.3962
344.6528   1.4088
344.6597   1.1311
344.6667   1.1141
344.6736   1.2607
344.6806   1.1988
344.6875   1.0752
344.6944   1.2129
344.7014   1.1089
344.7083   0.9912
344.7153   0.8534
344.7222   0.7368
344.7292   0.6237
344.7361   0.5049
344.7431   0.3913
344.7500   0.3009
344.7569   0.1560
344.7639   0.0411
344.7708   -0.0870
344.7778   -0.1515
344.7847   -0.2687
344.7917   -0.3886
344.7986   -0.4956
344.8056   -0.5999
344.8125   -0.7359
344.8194   -0.8000
344.8264   -0.8666
344.8333   -0.9246
344.8403   -0.8741
344.8472   -0.9879
344.8542   -1.0230
344.8611   -0.9357
344.8681   -0.8858
344.8750   -0.9427
344.8819   -1.1516
344.8889   -1.0562
344.8958   -1.0970
344.9028   -1.0868
344.9097   -1.0712
344.9167   -0.9093
344.9236   -1.0562
344.9306   -0.9636
344.9375   -0.8748
344.9444   -0.8176
344.9514   -0.6317
344.9583   -0.5852
344.9653   -0.5573
344.9722   -0.4523
344.9792   -0.3398
344.9861   -0.2350
344.9931   -0.1170
345.0000   -0.0145
345.0069   0.0843
345.0139   0.1946
345.0208   0.2980
345.0278   0.3975
345.0347   0.4577
345.0417   0.5414
345.0486   0.6547
345.0556   0.6816
345.0625   0.7511
345.0694   0.7919
345.0764   0.8585
345.0833   0.9221
345.0903   1.0501
345.0972   1.0650
345.1042   1.2429
345.1111   1.0150
345.1181   1.1551
345.1250   1.0278
345.1319   0.9697
345.1389   0.9279
345.1458   0.9330
345.1528   0.8930
345.1597   0.9897
345.1667   0.9499
345.1736   0.9102
345.1806   1.0293
345.1875   0.9353
345.1944   0.8838
345.2014   0.9445
345.2083   0.8705
345.2153   0.7104
345.2222   0.6833
345.2292   0.6121
345.2361   0.4901
345.2431   0.4111
345.2500   0.3051
345.2569   0.1999
345.2639   0.1148
345.2708   -0.0186
345.2778   -0.0412
345.2847   -0.1475
345.2917   -0.2411
345.2986   -0.3738
345.3056   -0.5205
345.3125   -0.6068
345.3194   -0.7355
345.3264   -0.7637
345.3333   -0.8290
345.3403   -0.9345
345.3472   -1.0511
345.3542   -1.2014
345.3611   -1.2317
345.3681   -1.2781
345.3750   -1.2565
345.3819   -1.3835
345.3889   -1.4167
345.3958   -1.4414
345.4028   -1.5345
345.4097   -1.5539
345.4167   -1.5470
345.4236   -1.5322
345.4306   -1.5674
345.4375   -1.3987
345.4444   -1.3438
345.4514   -1.2899
345.4583   -1.2603
345.4653   -1.0944
345.4722   -1.0041
345.4792   -0.9139
345.4861   -0.8148
345.4931   -0.7019
345.5000   -0.5753
345.5069   -0.4796
345.5139   -0.3937
345.5208   -0.2888
345.5278   -0.1433
345.5347   -0.0326
345.5417   0.0665
345.5486   0.1763
345.5556   0.2862
345.5625   0.3663
345.5694   0.4667
345.5764   0.5609
345.5833   0.6599
345.5903   0.7945
345.5972   0.8821
345.6042   0.9635
345.6111   1.1057
345.6181   1.1945
345.6250   1.3410
345.6319   1.4343
345.6389   1.3777
345.6458   1.4232
345.6528   1.4398
345.6597   1.4765
345.6667   1.4794
345.6736   1.4820
345.6806   1.3626
345.6875   1.3656
345.6944   1.4002
345.7014   1.3521
345.7083   1.3205
345.7153   1.2774
345.7222   1.1956
345.7292   1.2066
345.7361   0.8749
345.7431   0.7539
345.7500   0.7071
345.7569   0.7425
345.7639   0.6144
345.7708   0.5392
345.7778   0.5121
345.7847   0.4129
345.7917   0.3030
345.7986   0.1709
345.8056   -0.0111
345.8125   -0.0798
345.8194   -0.1877
345.8264   -0.2624
345.8333   -0.4107
345.8403   -0.4680
345.8472   -0.6460
345.8542   -0.7185
345.8611   -0.7829
345.8681   -0.8288
345.8750   -0.8840
345.8819   -0.9272
345.8889   -1.0019
345.8958   -1.0564
345.9028   -1.1480
345.9097   -1.0767
345.9167   -1.0809
345.9236   -1.2906
345.9306   -1.2355
345.9375   -1.1919
345.9444   -1.0705
345.9514   -0.9997
345.9583   -0.9852
345.9653   -0.9432
345.9722   -0.9297
345.9792   -0.8629
345.9861   -0.7869
345.9931   -0.7007
346.0000   -0.6433
346.0069   -0.5500
346.0139   -0.4843
346.0208   -0.4003
346.0278   -0.3259
346.0347   -0.3932
346.0417   -0.2931
346.0486   -0.2213
346.0556   -0.1615
346.0625   -0.0811
346.0694   0.0897
346.0764   0.1708
346.0833   0.2519
346.0903   0.3331
346.0972   0.4415
346.1042   0.5351
346.1111   0.4276
346.1181   0.4790
346.1250   0.5233
346.1319   0.5676
346.1389   0.6326
346.1458   0.6982
346.1528   0.6164
346.1597   0.7483
346.1667   0.7676
346.1736   0.7489
346.1806   0.7478
346.1875   0.7474
346.1944   0.7403
346.2014   0.7341
346.2083   0.7188
346.2153   0.7627
346.2222   0.7407
346.2292   0.6590
346.2361   0.6149
346.2431   0.4777
346.2500   0.4457
346.2569   0.4764
346.2639   0.4166
346.2708   0.3618
346.2778   0.3688
346.2847   0.3059
346.2917   0.1337
346.2986   0.0180
346.3056   -0.1348
346.3125   -0.2114
346.3194   -0.4435
346.3264   -0.5146
346.3333   -0.4830
346.3403   -0.6747
346.3472   -0.6612
346.3542   -0.7756
346.3611   -0.7825
346.3681   -0.8895
346.3750   -0.9458
346.3819   -1.0372
346.3889   -1.0790
346.3958   -1.1624
346.4028   -1.2205
346.4097   -1.2585
346.4167   -1.2767
346.4236   -1.3388
346.4306   -1.3277
346.4375   -1.3274
346.4444   -1.3312
346.4514   -1.2445
346.4583   -1.2192
346.4653   -1.2001
346.4722   -1.2094
346.4792   -1.1765
346.4861   -1.1445
