year  doy  maxRHL1  meanazm  sat   delT   minE    maxE  UTC  ObsType  p/k   DynCor  MaskPart
              m       deg           min   deg     deg   hr                        
2021  348    17.82   137.62   G1    37   19.91    5.19   6.95    3  10.405 -0.533   1
2021  348    18.34   137.62   G1    37   19.91    5.19   6.95    4  11.373 -0.533   1
2021  348    18.89   137.62   G1    37   19.91    5.19   6.95   14   8.853 -0.533   1
2021  348    15.67   247.65   G1    34   24.88   12.01   1.16    3  10.873  0.830   2
2021  348    15.61   247.65   G1    34   24.88   12.01   1.16    4  12.925  0.830   2
2021  348    15.80   247.65   G1    34   24.88   12.01   1.16   12  11.632  0.830   2
2021  348    15.80   247.65   G1    34   24.88   12.01   1.16   13   9.705  0.830   2
2021  348    15.75   247.65   G1    34   24.88   12.01   1.16   14   9.605  0.830   2
2021  348    16.61   209.91   G3    29   24.79   12.13   2.54    4   8.791  0.729   2
2021  348    16.62   209.91   G3    29   24.79   12.13   2.54   12   8.684  0.729   2
2021  348    16.08   174.46   G4    30   24.89   12.01   4.45    2   7.719  0.727   2
2021  348    16.08   174.46   G4    30   24.89   12.01   4.45    3   8.990  0.727   2
2021  348    17.37   174.46   G4    30   24.89   12.01   4.45    4  12.750  0.727   2
2021  348    15.91   174.46   G4    30   24.89   12.01   4.45   12   9.637  0.727   2
2021  348    17.36   174.46   G4    30   24.89   12.01   4.45   14  10.933  0.727   2
2021  348    16.90   297.77   G5    32   24.83   12.15   9.20   12  11.304  0.815   2
2021  348    14.94   186.70   G5    29   24.88   12.13  13.80    2  10.335 -0.736   2
2021  348    15.09   186.70   G5    29   24.88   12.13  13.80    3   9.778 -0.736   2
2021  348    14.93   186.70   G5    29   24.88   12.13  13.80   12  10.846 -0.736   2
2021  348    15.07   186.70   G5    29   24.88   12.13  13.80   13   8.876 -0.736   2
2021  348    19.20   299.39   G6    33   24.83   12.13   5.39   12   8.531  0.826   2
2021  348    16.63   187.95   G6    28   24.79   12.13  10.01    2   7.456 -0.715   2
2021  348    16.20   187.95   G6    28   24.79   12.13  10.01    3   8.207 -0.715   2
2021  348    17.05   187.95   G6    28   24.79   12.13  10.01    4  11.809 -0.715   2
2021  348    16.89   187.95   G6    28   24.79   12.13  10.01   14   9.936 -0.715   2
2021  348    17.75   162.70   G7    31   19.88    7.38   7.44    2  10.308  0.570   1
2021  348    17.75   162.70   G7    31   19.88    7.38   7.44    3  11.260  0.570   1
2021  348    17.61   162.70   G7    31   19.88    7.38   7.44   12   9.688  0.570   1
