year  doy  maxRHL1  meanazm  sat   delT   minE    maxE  UTC  ObsType  p/k   DynCor  MaskPart
              m       deg           min   deg     deg   hr                        
2021  342    13.70   137.62   G1    37   19.91    5.19   7.36    2   9.565 -0.533   1
2021  342    13.70   137.62   G1    37   19.91    5.19   7.36    3  12.055 -0.533   1
2021  342    13.79   137.62   G1    37   19.91    5.19   7.36    4  12.582 -0.533   1
2021  342    13.70   137.62   G1    37   19.91    5.19   7.36   12  13.582 -0.533   1
2021  342    13.70   137.62   G1    37   19.91    5.19   7.36   13  11.939 -0.533   1
2021  342    13.82   137.62   G1    37   19.91    5.19   7.36   14  11.783 -0.533   1
2021  342    18.24   247.65   G1    34   24.88   12.01   1.57    3  12.704  0.830   2
2021  342    18.14   247.65   G1    34   24.88   12.01   1.57    4  12.019  0.830   2
2021  342    18.08   247.65   G1    34   24.88   12.01   1.57   12  13.011  0.830   2
2021  342    18.22   247.65   G1    34   24.88   12.01   1.57   13   9.671  0.830   2
2021  342    17.36   218.14   G2    32   24.80   12.04  11.48   12  11.501 -0.812   2
2021  342    14.18   174.45   G4    29   24.86   12.20   4.87    3   9.258  0.730   2
2021  342    14.34   174.45   G4    29   24.86   12.20   4.87    4   9.745  0.730   2
2021  342    14.16   174.45   G4    29   24.86   12.20   4.87   12   8.681  0.730   2
2021  342    14.34   174.45   G4    29   24.86   12.20   4.87   14  10.022  0.730   2
2021  342    14.80   186.74   G5    30   24.78   12.03  14.21    2   7.445 -0.732   2
2021  342    14.80   186.74   G5    30   24.78   12.03  14.21    3  10.102 -0.732   2
2021  342    14.79   186.74   G5    30   24.78   12.03  14.21   12  10.904 -0.732   2
2021  342    14.08   299.41   G6    33   24.90   12.02   5.80   12  10.548  0.825   2
2021  342    16.20   188.02   G6    28   24.89   12.21  10.42    2   8.702 -0.718   2
2021  342    16.20   188.02   G6    28   24.89   12.21  10.42    3   9.965 -0.718   2
2021  342    16.30   188.02   G6    28   24.89   12.21  10.42    4   9.541 -0.718   2
2021  342    16.18   188.02   G6    28   24.89   12.21  10.42   12   9.698 -0.718   2
2021  342    14.74   162.64   G7    31   19.92    7.42   7.85    2   9.339  0.572   1
2021  342    14.74   162.64   G7    31   19.92    7.42   7.85    3  10.031  0.572   1
2021  342    14.75   162.64   G7    31   19.92    7.42   7.85   12   9.904  0.572   1
2021  342    15.43   159.21   G8    35   19.90    5.10   4.82    2   7.231 -0.496   1
2021  342    15.31   159.21   G8    35   19.90    5.10   4.82    3   7.324 -0.496   1
2021  342    15.35   159.21   G8    35   19.90    5.10   4.82    4   8.507 -0.496   1
2021  342    15.38   159.21   G8    35   19.90    5.10   4.82   14   9.617 -0.496   1
