year  doy  maxRHL1  meanazm  sat   delT   minE    maxE  UTC  ObsType  p/k   DynCor  MaskPart
              m       deg           min   deg     deg   hr                        
2021  344    15.40   137.65   G1    37   19.84    5.12   7.22    3   8.566 -0.530   1
2021  344    15.43   137.65   G1    37   19.84    5.12   7.22    4  11.519 -0.530   1
2021  344    15.40   137.65   G1    37   19.84    5.12   7.22   13   8.683 -0.530   1
2021  344    15.47   137.65   G1    37   19.84    5.12   7.22   14  11.606 -0.530   1
2021  344    18.53   247.70   G1    33   24.95   12.08   1.44    3  10.561  0.833   2
2021  344    18.44   247.70   G1    33   24.95   12.08   1.44    4  10.503  0.833   2
2021  344    18.51   247.70   G1    33   24.95   12.08   1.44   12   9.927  0.833   2
2021  344    18.58   247.70   G1    33   24.95   12.08   1.44   14  10.172  0.833   2
2021  344    16.22   174.46   G4    29   24.95   12.06   4.73    2   7.181  0.729   2
2021  344    16.22   174.46   G4    29   24.95   12.06   4.73    3   9.444  0.729   2
2021  344    16.33   174.46   G4    29   24.95   12.06   4.73    4  10.213  0.729   2
2021  344    16.20   174.46   G4    29   24.95   12.06   4.73   12   9.623  0.729   2
2021  344    16.20   174.46   G4    29   24.95   12.06   4.73   13   8.954  0.729   2
2021  344    16.32   174.46   G4    29   24.95   12.06   4.73   14   9.712  0.729   2
2021  344    16.24   186.74   G5    30   24.89   12.13  14.07    2   7.782 -0.736   2
2021  344    16.24   186.74   G5    30   24.89   12.13  14.07    3   9.355 -0.736   2
2021  344    16.36   186.74   G5    30   24.89   12.13  14.07   12  10.260 -0.736   2
2021  344    16.36   186.74   G5    30   24.89   12.13  14.07   13   9.201 -0.736   2
2021  344    15.97   299.41   G6    33   24.81   12.12   5.67   14   9.297  0.825   2
2021  344    14.75   187.98   G6    28   24.77   12.11  10.29    2   7.344 -0.714   2
2021  344    14.75   187.98   G6    28   24.77   12.11  10.29    3   8.786 -0.714   2
2021  344    14.79   187.98   G6    28   24.77   12.11  10.29    4  10.426 -0.714   2
2021  344    14.73   187.98   G6    28   24.77   12.11  10.29   12   9.653 -0.714   2
2021  344    14.78   187.98   G6    28   24.77   12.11  10.29   14   9.110 -0.714   2
2021  344    14.66   162.67   G7    31   19.98    7.29   7.71    2  10.725  0.570   1
2021  344    14.66   162.67   G7    31   19.98    7.29   7.71    3  12.296  0.570   1
2021  344    14.66   162.67   G7    31   19.98    7.29   7.71   12  12.803  0.570   1
2021  344    14.66   162.67   G7    31   19.98    7.29   7.71   13  12.087  0.570   1
2021  344    16.88   159.23   G8    35   19.84    5.05   4.68    3  12.184 -0.494   1
2021  344    17.48   159.23   G8    35   19.84    5.05   4.68    4  11.917 -0.494   1
2021  344    16.40   159.23   G8    35   19.84    5.05   4.68   12   8.803 -0.494   1
2021  344    16.88   159.23   G8    35   19.84    5.05   4.68   13   9.055 -0.494   1
2021  344    17.52   159.23   G8    35   19.84    5.05   4.68   14  12.095 -0.494   1
2021  344    16.42   271.74   G8    36   24.99   12.02  23.05    3  10.025  0.874   2
2021  344    16.54   271.74   G8    36   24.99   12.02  23.05    4  10.904  0.874   2
2021  344    16.54   271.74   G8    36   24.99   12.02  23.05   12  11.643  0.874   2
2021  344    16.40   271.74   G8    36   24.99   12.02  23.05   13   9.651  0.874   2
2021  344    16.53   271.74   G8    36   24.99   12.02  23.05   14  10.704  0.874   2
2021  344    15.46   195.28   G9    29   24.80   12.01   5.76    3   9.117  0.718   2
2021  344    15.39   195.28   G9    29   24.80   12.01   5.76    4   9.611  0.718   2
2021  344    15.44   195.28   G9    29   24.80   12.01   5.76   12   9.085  0.718   2
2021  344    15.44   195.28   G9    29   24.80   12.01   5.76   13   9.130  0.718   2
2021  344    16.04   147.03  G10    38   19.87    5.07  22.87    3  10.408  0.544   1
2021  344    16.23   147.03  G10    38   19.87    5.07  22.87    4  13.278  0.544   1
2021  344    16.16   147.03  G10    38   19.87    5.07  22.87   12  10.632  0.544   1
2021  344    16.16   147.03  G10    38   19.87    5.07  22.87   13  10.893  0.544   1
2021  344    16.26   147.03  G10    38   19.87    5.07  22.87   14  12.191  0.544   1
2021  344    18.82   262.01  G10    49   24.98   12.08  16.59    3  11.214 -1.293   2
2021  344    18.90   262.01  G10    49   24.98   12.08  16.59    4   9.173 -1.293   2
2021  344    18.94   262.01  G10    49   24.98   12.08  16.59   12   9.679 -1.293   2
2021  344    18.80   262.01  G10    49   24.98   12.08  16.59   13  10.316 -1.293   2
