year  doy  maxRHL1  meanazm  sat   delT   minE    maxE  UTC  ObsType  p/k   DynCor  MaskPart
              m       deg           min   deg     deg   hr                        
2021  354    15.07   137.67   G1    38   19.92    5.00   6.55    2   7.596 -0.529   1
2021  354    15.07   137.67   G1    38   19.92    5.00   6.55    3  10.995 -0.529   1
2021  354    15.11   137.67   G1    38   19.92    5.00   6.55    4  10.964 -0.529   1
2021  354    16.53   247.65   G1    34   24.88   12.01   0.75    3   8.526  0.830   2
2021  354    16.50   247.65   G1    34   24.88   12.01   0.75    4   8.781  0.830   2
2021  354    18.83   218.19   G2    33   24.97   12.02  10.66    2   8.540 -0.815   2
2021  354    15.08   209.97   G3    30   24.91   12.03   2.14    2   7.341  0.729   2
2021  354    15.08   209.97   G3    30   24.91   12.03   2.14    3   8.934  0.729   2
2021  354    14.99   209.97   G3    30   24.91   12.03   2.14    4   9.336  0.729   2
2021  354    14.23   174.43   G4    30   24.95   12.06   4.05    2   8.944  0.729   2
2021  354    14.23   174.43   G4    30   24.95   12.06   4.05    3  10.582  0.729   2
2021  354    14.25   174.43   G4    30   24.95   12.06   4.05    4  11.595  0.729   2
2021  354    16.09   186.62   G5    29   24.79   12.03  13.39    2   8.172 -0.732   2
2021  354    16.09   186.62   G5    29   24.79   12.03  13.39    3  10.400 -0.732   2
2021  354    15.21   187.90   G6    29   24.94   12.05   9.60    2   8.149 -0.716   2
2021  354    15.35   187.90   G6    29   24.94   12.05   9.60    3   8.492 -0.716   2
2021  354    16.61   187.90   G6    29   24.94   12.05   9.60    4   7.838 -0.716   2
2021  354    16.58   162.73   G7    31   19.83    7.53   7.04    2   7.523  0.572   1
2021  354    16.72   162.73   G7    31   19.83    7.53   7.04    3   9.979  0.572   1
2021  354    14.47   159.27   G8    35   19.96    5.16   4.00    2  10.951 -0.499   1
2021  354    14.47   159.27   G8    35   19.96    5.16   4.00    3  12.975 -0.499   1
2021  354    14.47   159.27   G8    35   19.96    5.16   4.00    4  12.908 -0.499   1
2021  354    19.09   271.78   G8    35   24.86   12.07  22.38    3   9.540  0.872   2
2021  354    19.17   271.78   G8    35   24.86   12.07  22.38    4  13.533  0.872   2
2021  354    14.89   195.22   G9    29   24.87   12.07   5.08    2  10.136  0.720   2
2021  354    14.75   195.22   G9    29   24.87   12.07   5.08    3  10.613  0.720   2
2021  354    14.79   195.22   G9    29   24.87   12.07   5.08    4  10.099  0.720   2
2021  354    18.32   147.06  G10    38   19.81    5.00  22.19    2   9.462  0.541   1
2021  354    18.32   147.06  G10    38   19.81    5.00  22.19    3  14.240  0.541   1
2021  354    18.99   147.06  G10    38   19.81    5.00  22.19    4  11.705  0.541   1
2021  354    15.24   261.98  G10    48   24.92   12.13  15.91    3  12.002 -1.288   2
2021  354    15.31   261.98  G10    48   24.92   12.13  15.91    4   8.916 -1.288   2
2021  354    17.04   205.27  G11    31   24.84   12.04  10.67    3   9.982 -0.769   2
2021  354    15.68   202.52  G12    29   24.98   12.12  13.88    3   8.955  0.721   2
2021  354    19.11   144.15  G14    40   19.99    5.04  10.27    2   8.346  0.562   1
2021  354    19.07   144.15  G14    40   19.99    5.04  10.27    4  15.525  0.562   1
2021  354    14.79   256.79  G14    47   24.99   12.01   4.03    1  10.853 -1.222   2
2021  354    14.73   256.79  G14    47   24.99   12.01   4.03    3  11.933 -1.222   2
2021  354    14.63   256.79  G14    47   24.99   12.01   4.03    4  11.669 -1.222   2
2021  354    15.94   173.87  G16    30   24.94   12.07   1.17    2   7.373 -0.729   2
2021  354    15.15   210.97  G17    31   25.00   12.17   6.91    3   9.121 -0.775   2
2021  354    16.64   163.28  G18    24   19.86    9.84  19.18    2   7.593  0.604   1
2021  354    16.64   163.28  G18    24   19.86    9.84  19.18    3   7.159  0.604   1
2021  354    16.62   163.28  G18    24   19.86    9.84  19.18    4  10.212  0.604   1
2021  354    14.43   176.94  G20    29   24.95   12.12  12.42    2   7.445 -0.721   2
2021  354    15.69   238.54  G23    38   24.99   12.12  15.42    3   8.871 -0.947   2
2021  354    15.77   238.54  G23    38   24.99   12.12  15.42    4  11.042 -0.947   2
2021  354    14.59   135.57  G24    38   19.85    5.06  18.06    2  11.463 -0.540   1
2021  354    14.59   135.57  G24    38   19.85    5.06  18.06    3  13.114 -0.540   1
2021  354    14.60   135.57  G24    38   19.85    5.06  18.06    4  12.223 -0.540   1
2021  354    17.66   244.98  G24    33   24.93   12.04  12.25    4   8.558  0.817   2
2021  354    14.66   224.60  G25    30   24.85   12.09  15.07    3   7.683  0.763   2
2021  354    14.70   224.60  G25    30   24.85   12.09  15.07    4   9.718  0.763   2
2021  354    17.13   162.41  G26    26   16.00    5.03   0.22    4   9.986 -0.425   1
2021  354    16.21   274.96  G26    35   24.94   12.06  18.60    4   9.158  0.866   2
2021  354    15.55   142.87  G27    37   19.97    5.01   2.89    4  10.508 -0.521   1
2021  354    15.11   253.19  G27    34   24.93   12.06  21.05    2   7.225  0.844   2
2021  354    18.67   253.19  G27    34   24.93   12.06  21.05    3  10.976  0.844   2
2021  354    18.59   253.19  G27    34   24.93   12.06  21.05    4  13.456  0.844   2
2021  354    14.32   183.34  G29    29   24.97   12.18  16.70    2   9.472  0.712   2
2021  354    14.32   183.34  G29    29   24.97   12.18  16.70    3  10.045  0.712   2
2021  354    16.56   176.70  G30    30   24.95   12.11   8.08    2   9.296  0.745   2
2021  354    16.56   176.70  G30    30   24.95   12.11   8.08    3  11.373  0.745   2
2021  354    17.73   176.70  G30    30   24.95   12.11   8.08    4  12.730  0.745   2
2021  354    17.04   189.66  G31    30   24.82   12.13  21.77    2   8.258 -0.751   2
2021  354    14.60   221.32  G32    34   24.98   12.15  19.00    1   8.080 -0.840   2
2021  354    14.88   221.32  G32    34   24.98   12.15  19.00    2   7.357 -0.840   2
2021  354    15.02   221.32  G32    34   24.98   12.15  19.00    3  12.207 -0.840   2
2021  354    15.08   221.32  G32    34   24.98   12.15  19.00    4  10.342 -0.840   2
2021  354    16.08   241.06  R33    31   24.97   12.16   6.29    3   8.197  0.780   2
2021  354    16.08   241.06  R33    31   24.97   12.16   6.29    4   7.457  0.780   2
2021  354    12.86   137.72  R37    32   19.93    5.05   0.30    3   8.368  0.452   1
2021  354    12.86   137.72  R37    32   19.93    5.05   0.30    4   7.898  0.452   1
2021  354    14.35   225.71  R37    27   24.89   12.07  17.40    3   8.127 -0.673   2
2021  354    14.35   225.71  R37    27   24.89   12.07  17.40    4   8.941 -0.673   2
2021  354    16.64   257.73  R43    34   24.92   12.10   2.30    3   9.369 -0.856   2
2021  354    15.16   242.89  R47    32   24.93   12.05  14.45    3   8.233  0.785   1
2021  354    14.44   138.35  R49    32   19.89    5.05  16.28    3   8.726  0.445   1
2021  354    14.44   138.35  R49    32   19.89    5.05  16.28    4   9.102  0.445   1
2021  354    18.36   256.29  R49    33   24.90   12.01  10.35    4   8.492 -0.821   2
2021  354    14.43   153.84  R53    31   19.91    5.18   5.75    3   9.280 -0.439   1
2021  354    14.43   153.84  R53    31   19.91    5.18   5.75    4   8.715 -0.439   1
2021  354    16.86   276.99  R53    35   24.97   12.09   0.68    3  10.999  0.883   2
2021  354    15.75   213.44  E59    37   24.96   12.06  13.77    2   9.519  0.919   2
2021  354    15.72   213.44  E59    37   24.96   12.06  13.77    3   7.597  0.919   2
2021  354    15.78   213.44  E59    37   24.96   12.06  13.77    4  10.266  0.919   2
2021  354    15.84   213.44  E59    37   24.96   12.06  13.77    5  10.844  0.919   2
2021  354    18.46   177.03  E60    34   24.84   12.09   0.53    2  11.310 -0.847   2
2021  354    18.50   177.03  E60    34   24.84   12.09   0.53    3  12.546 -0.847   2
2021  354    18.43   177.03  E60    34   24.84   12.09   0.53    4  12.986 -0.847   2
2021  354    18.37   177.03  E60    34   24.84   12.09   0.53    5  10.908 -0.847   2
2021  354    15.58   151.40  E61    44   19.84    5.00   1.76    2  10.831  0.615   1
2021  354    15.60   151.40  E61    44   19.84    5.00   1.76    3  10.702  0.615   1
2021  354    15.55   151.40  E61    44   19.84    5.00   1.76    4  12.252  0.615   1
2021  354    15.25   151.40  E61    44   19.84    5.00   1.76    5  10.595  0.615   1
2021  354    14.58   216.89  E62    38   24.87   12.03  18.42    1   8.854 -0.929   2
2021  354    14.61   216.89  E62    38   24.87   12.03  18.42    2  13.138 -0.929   2
2021  354    14.54   216.89  E62    38   24.87   12.03  18.42    3  12.706 -0.929   2
2021  354    14.53   216.89  E62    38   24.87   12.03  18.42    4  11.243 -0.929   2
2021  354    14.42   216.89  E62    38   24.87   12.03  18.42    5  11.878 -0.929   2
2021  354    15.44   210.71  E65    36   24.87   12.09   5.57    2  12.490  0.913   1
2021  354    15.45   210.71  E65    36   24.87   12.09   5.57    3  13.541  0.913   1
2021  354    15.49   210.71  E65    36   24.87   12.09   5.57    4  12.260  0.913   1
2021  354    15.39   210.71  E65    36   24.87   12.09   5.57    5   9.528  0.913   1
2021  354    14.16   180.26  E66    35   24.83   12.01   3.60    1   8.930  0.852   2
2021  354    14.03   180.26  E66    35   24.83   12.01   3.60    2  13.586  0.852   2
2021  354    14.14   180.26  E66    35   24.83   12.01   3.60    3  14.608  0.852   2
2021  354    14.11   180.26  E66    35   24.83   12.01   3.60    4  15.448  0.852   2
2021  354    14.15   180.26  E66    35   24.83   12.01   3.60    5  14.225  0.852   2
2021  354    14.86   254.82  E67    48   24.92   12.01  19.36    2   9.071 -1.209   2
2021  354    14.63   254.82  E67    48   24.92   12.01  19.36    3   7.326 -1.209   2
2021  354    14.92   254.82  E67    48   24.92   12.01  19.36    4   7.898 -1.209   2
2021  354    14.96   254.82  E67    48   24.92   12.01  19.36    5   8.115 -1.209   2
2021  354    15.06   219.49  E69    38   24.92   12.01  22.12    1   7.552  0.941   2
2021  354    19.14   219.49  E69    38   24.92   12.01  22.12    2  13.445  0.941   2
2021  354    19.11   219.49  E69    38   24.92   12.01  22.12    3  14.213  0.941   2
2021  354    19.08   219.49  E69    38   24.92   12.01  22.12    4  11.522  0.941   2
2021  354    19.04   219.49  E69    38   24.92   12.01  22.12    5   9.500  0.941   2
2021  354    17.75   186.74  E70    23   24.85   16.05  20.05    2   9.655  0.930   2
2021  354    17.94   186.74  E70    23   24.85   16.05  20.05    3   8.812  0.930   2
2021  354    17.94   186.74  E70    23   24.85   16.05  20.05    4   9.166  0.930   2
2021  354    16.98   181.81  E71    34   24.99   12.02   8.71    2  11.783 -0.835   2
2021  354    17.12   181.81  E71    34   24.99   12.02   8.71    3   9.263 -0.835   2
2021  354    17.12   181.81  E71    34   24.99   12.02   8.71    4   9.662 -0.835   2
2021  354    17.20   181.81  E71    34   24.99   12.02   8.71    5  10.915 -0.835   2
2021  354    15.49   153.01  E73    42   19.95    5.03   7.02    2  12.143 -0.601   1
2021  354    15.40   153.01  E73    42   19.95    5.03   7.02    3  12.377 -0.601   1
2021  354    15.46   153.01  E73    42   19.95    5.03   7.02    4  12.848 -0.601   1
2021  354    15.16   153.01  E73    42   19.95    5.03   7.02    5  11.889 -0.601   1
2021  354    14.49   182.17  E77    34   24.81   12.00  16.79    2  13.781 -0.852   2
2021  354    14.43   182.17  E77    34   24.81   12.00  16.79    3  14.544 -0.852   2
2021  354    14.41   182.17  E77    34   24.81   12.00  16.79    4  13.795 -0.852   2
2021  354    14.45   182.17  E77    34   24.81   12.00  16.79    5  13.042 -0.852   2
2021  354    18.15   184.02  E79    34   24.92   12.16  11.84    2  13.281  0.850   2
2021  354    18.08   184.02  E79    34   24.92   12.16  11.84    3  10.220  0.850   2
2021  354    18.13   184.02  E79    34   24.92   12.16  11.84    4  13.782  0.850   2
2021  354    18.22   184.02  E79    34   24.92   12.16  11.84    5   9.512  0.850   2
2021  354    18.60   214.00  E84    36   24.91   12.14  10.30    2   9.298 -0.888   2
2021  354    18.63   214.00  E84    36   24.91   12.14  10.30    3  10.843 -0.888   2
2021  354    18.56   214.00  E84    36   24.91   12.14  10.30    4  11.607 -0.888   2
2021  354    19.00   155.12  E85    43   19.93    5.12   9.95    2  13.533  0.599   1
2021  354    18.99   155.12  E85    43   19.93    5.12   9.95    3  14.961  0.599   1
2021  354    19.01   155.12  E85    43   19.93    5.12   9.95    4  15.695  0.599   1
2021  354    19.25   155.12  E85    43   19.93    5.12   9.95    5  14.618  0.599   1
2021  354    15.15   243.54  E85    42   24.98   12.13   3.23    1   7.707 -1.061   2
2021  354    15.52   243.54  E85    42   24.98   12.13   3.23    2  10.134 -1.061   2
2021  354    15.65   243.54  E85    42   24.98   12.13   3.23    3   9.229 -1.061   2
2021  354    15.56   243.54  E85    42   24.98   12.13   3.23    4  10.199 -1.061   2
2021  354    15.46   243.54  E85    42   24.98   12.13   3.23    5   9.919 -1.061   2
2021  354    17.04   206.76  E88    35   24.83   12.03   2.08    2  10.450 -0.879   2
2021  354    16.92   206.76  E88    35   24.83   12.03   2.08    3  11.841 -0.879   2
2021  354    16.90   206.76  E88    35   24.83   12.03   2.08    4  11.373 -0.879   2
2021  354    16.97   206.76  E88    35   24.83   12.03   2.08    5   9.579 -0.879   2
2021  354    18.90   161.44  E89    41   19.97    5.17  23.65    2  16.346 -0.593   1
2021  354    19.35   161.44  E89    41   19.97    5.17  23.65    3  12.636 -0.593   1
2021  354    18.91   161.44  E89    41   19.97    5.17  23.65    4  17.724 -0.593   1
2021  354    19.15   161.44  E89    41   19.97    5.17  23.65    5  13.252 -0.593   1
2021  354    14.43   251.76  E89    45   24.91   12.01  16.42    1  10.192  1.117   2
2021  354    14.42   251.76  E89    45   24.91   12.01  16.42    2  12.227  1.117   2
2021  354    14.36   251.76  E89    45   24.91   12.01  16.42    3  13.762  1.117   2
2021  354    14.34   251.76  E89    45   24.91   12.01  16.42    4  14.090  1.117   2
2021  354    14.38   251.76  E89    45   24.91   12.01  16.42    5  11.548  1.117   2
2021  354    14.89   157.70  E91    41   19.96    5.10  18.04    1   7.660  0.584   1
2021  354    15.30   157.70  E91    41   19.96    5.10  18.04    2  12.415  0.584   1
2021  354    15.34   157.70  E91    41   19.96    5.10  18.04    3  10.693  0.584   1
2021  354    15.40   157.70  E91    41   19.96    5.10  18.04    4  12.510  0.584   1
2021  354    15.60   157.70  E91    41   19.96    5.10  18.04    5  10.931  0.584   1
2021  354    19.14   247.06  E91    42   24.97   12.05  11.27    2  13.898 -1.055   2
2021  354    19.25   247.06  E91    42   24.97   12.05  11.27    3  14.517 -1.055   2
2021  354    19.23   247.06  E91    42   24.97   12.05  11.27    4  12.871 -1.055   2
2021  354    19.04   247.06  E91    42   24.97   12.05  11.27    5   8.875 -1.055   2
2021  354    13.13   228.28  C105    35   24.89   12.04  20.95    3   7.585  0.871   2
2021  354    18.73   228.28  C105    35   24.89   12.04  20.95    4  12.089  0.871   2
2021  354    18.65   228.28  C105    35   24.89   12.04  20.95    5   9.678  0.871   2
2021  354    16.46   199.48  C106    32   24.99   12.07  18.98    4  10.439  0.779   2
2021  354    16.63   199.48  C106    32   24.99   12.07  18.98    5   9.160  0.779   2
2021  354    17.33   162.61  C113    38   19.91    5.09  13.81    2  10.126 -0.531   1
2021  354    17.24   162.61  C113    38   19.91    5.09  13.81    5  13.209 -0.531   1
2021  354    17.74   266.85  C113    40   24.87   12.12   7.62    2   7.886  1.002   2
2021  354    17.90   266.85  C113    40   24.87   12.12   7.62    3   7.405  1.002   2
2021  354    19.04   136.14  C114    41   19.89    5.12  11.90    2  10.427 -0.580   1
2021  354    15.02   234.37  C114    36   24.85   12.00   5.30    1   8.552  0.894   2
2021  354    15.20   234.37  C114    36   24.85   12.00   5.30    2  11.512  0.894   2
2021  354    15.05   234.37  C114    36   24.85   12.00   5.30    3  10.261  0.894   2
2021  354    15.20   234.37  C114    36   24.85   12.00   5.30    5   9.901  0.894   2
2021  354    14.88   219.29  C115    34   24.82   12.14  16.54    1   8.076 -0.868   2
2021  354    14.79   219.29  C115    34   24.82   12.14  16.54    2  12.241 -0.868   2
2021  354    14.70   219.29  C115    34   24.82   12.14  16.54    5  12.818 -0.868   2
2021  354    15.75   189.69  C116    32   24.87   12.12  15.24    2   7.534 -0.786   2
2021  354    18.63   178.95  C118    32   24.93   12.19  22.66    2  12.842 -0.789   2
2021  354    16.72   178.95  C118    32   24.93   12.19  22.66    5  11.838 -0.789   2
2021  354    17.61   155.92  C120    38   19.87    5.17  21.28    2  13.039 -0.544   1
2021  354    17.74   155.92  C120    38   19.87    5.17  21.28    5  13.569 -0.544   1
2021  354    14.46   258.40  C120    39   24.96   12.10  14.95    2  11.078  0.985   2
2021  354    14.51   258.40  C120    39   24.96   12.10  14.95    5   9.680  0.985   2
2021  354    17.05   275.18  C121    40   24.98   12.05   0.38    5  13.315  0.999   2
2021  354    14.46   168.90  C121    31   24.90   12.20   6.12    2  11.881 -0.780   2
2021  354    14.39   168.90  C121    31   24.90   12.20   6.12    5   9.860 -0.780   2
2021  354    14.28   142.60  C122    39   19.88    5.07   4.47    1   7.901 -0.562   1
2021  354    14.46   142.60  C122    39   19.88    5.07   4.47    2  16.078 -0.562   1
2021  354    14.41   142.60  C122    39   19.88    5.07   4.47    3   7.466 -0.562   1
2021  354    14.35   142.60  C122    39   19.88    5.07   4.47    5  15.411 -0.562   1
2021  354    14.87   133.99  C123    35   16.99    5.10  15.03    1   7.799  0.546   1
2021  354    14.77   133.99  C123    35   16.99    5.10  15.03    3   7.960  0.546   1
2021  354    14.86   133.99  C123    35   16.99    5.10  15.03    5  11.928  0.546   1
2021  354    17.25   230.60  C123    37   24.85   12.08   8.83    2  10.350 -0.930   2
2021  354    16.85   230.60  C123    37   24.85   12.08   8.83    3   9.461 -0.930   2
2021  354    17.25   230.60  C123    37   24.85   12.08   8.83    5  11.740 -0.930   2
2021  354    15.78   198.49  C124    33   24.99   12.13   7.62    2   9.659 -0.807   2
2021  354    15.87   198.49  C124    33   24.99   12.13   7.62    5   7.227 -0.807   2
2021  354    14.32   203.09  C126    31   24.82   12.13   3.15    2  11.460  0.791   2
2021  354    14.26   203.09  C126    31   24.82   12.13   3.15    5  10.479  0.791   2
2021  354    12.05   217.45  C128    33   24.86   12.16  20.02    1   9.681  0.832   2
2021  354    17.79   217.45  C128    33   24.86   12.16  20.02    2  11.444  0.832   2
2021  354    12.27   217.45  C128    33   24.86   12.16  20.02    3   7.395  0.832   2
2021  354    17.76   217.45  C128    33   24.86   12.16  20.02    5  10.077  0.832   2
2021  354    14.39   161.38  C129    39   19.83    5.08  16.27    2  17.157  0.549   1
2021  354    14.40   161.38  C129    39   19.83    5.08  16.27    5  15.435  0.549   1
2021  354    17.69   268.84  C129    57   24.99   12.07   9.47    2   7.428 -1.569   2
2021  354    19.01   193.60  C130    32   24.81   12.03  10.54    2  13.845  0.782   2
2021  354    15.96   193.60  C130    32   24.81   12.03  10.54    5   7.588  0.782   2
2021  354    17.14   138.17  C131    43   19.94    5.04   7.39    2   8.637  0.613   1
2021  354    16.03   138.17  C131    43   19.94    5.04   7.39    3   7.577  0.613   1
2021  354    16.59   138.17  C131    43   19.94    5.04   7.39    5   8.935  0.613   1
2021  354    17.59   236.28  C131    40   24.86   12.01   1.10    1  11.409 -0.989   2
2021  354    18.19   236.28  C131    40   24.86   12.01   1.10    2  10.782 -0.989   2
2021  354    17.75   236.28  C131    40   24.86   12.01   1.10    3  10.628 -0.989   2
2021  354    18.25   236.28  C131    40   24.86   12.01   1.10    5   7.824 -0.989   2
2021  354    15.75   174.41  C135    31   24.82   12.19   1.40    2  12.174  0.781   2
2021  354    15.59   174.41  C135    31   24.82   12.19   1.40    5   9.083  0.781   2
2021  354    18.38   153.37  C136    27   14.84    5.04  23.77    2  11.794  0.456   1
2021  354    14.24   254.59  C136    45   24.98   12.10  17.39    1  11.434 -1.173   2
2021  354    14.30   254.59  C136    45   24.98   12.10  17.39    2  12.797 -1.173   2
2021  354    14.26   254.59  C136    45   24.98   12.10  17.39    3  10.858 -1.173   2
2021  354    14.37   254.59  C136    45   24.98   12.10  17.39    5  11.629 -1.173   2
2021  354    19.20   247.96  C137    38   24.90   12.13  22.15    2  12.170  0.954   2
2021  354    19.20   247.96  C137    38   24.90   12.13  22.15    5  13.379  0.954   2
2021  354    15.52   188.03  C138    31   24.85   12.15  18.09    2  11.657  0.777   2
2021  354    15.51   188.03  C138    31   24.85   12.15  18.09    5  10.601  0.777   2
2021  354    17.38   222.92  C139    34   24.86   12.09  12.52    5   7.291  0.851   2
2021  354    18.59   166.57  C140    30   23.96   12.06   8.97    2  11.651  0.780   2
2021  354    17.24   166.57  C140    30   23.96   12.06   8.97    5  11.241  0.780   2
